epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.981,1.19012,4.63527,1.66129,0.15124,0.20025,0.06612,0.04529,1.14114,3.10766,1.74059,4.89415e-05,4.89415e-05,4.89415e-05
2,581.878,1.1572,3.81675,1.58481,0.22128,0.38954,0.23182,0.15274,1.12286,2.45877,1.76925,9.14773e-05,9.14773e-05,9.14773e-05
3,854.169,1.15886,3.34701,1.57914,0.34036,0.53612,0.41618,0.26957,1.14072,2.36659,1.77929,0.000127545,0.000127545,0.000127545
4,1121.41,1.13433,3.00386,1.55503,0.42544,0.55952,0.52537,0.35935,1.09428,1.88749,1.71805,0.000117894,0.000117894,0.000117894
5,1389.34,1.10177,2.74535,1.52046,0.55568,0.62623,0.64681,0.44852,1.07221,1.53119,1.69037,0.000108192,0.000108192,0.000108192
6,1653.46,0.9967,2.42377,1.59874,0.69566,0.76567,0.81366,0.57854,1.01534,1.194,1.63745,9.849e-05,9.849e-05,9.849e-05
7,1913.83,0.95332,2.01495,1.54854,0.80978,0.81295,0.88638,0.64525,0.98047,0.99353,1.60451,8.8788e-05,8.8788e-05,8.8788e-05
8,2171.74,0.93501,1.74316,1.52289,0.85545,0.8642,0.91647,0.67119,0.96346,0.89807,1.5833,7.9086e-05,7.9086e-05,7.9086e-05
9,2429.41,0.91633,1.55683,1.50953,0.8885,0.92354,0.95887,0.70838,0.94954,0.7816,1.57569,6.9384e-05,6.9384e-05,6.9384e-05
10,2688.14,0.89657,1.41771,1.48958,0.92106,0.9323,0.96803,0.72512,0.93584,0.70045,1.54994,5.9682e-05,5.9682e-05,5.9682e-05
11,2947.43,0.87489,1.30677,1.46321,0.94989,0.9439,0.98081,0.73086,0.92704,0.67788,1.54952,4.998e-05,4.998e-05,4.998e-05
12,3208.3,0.85922,1.24168,1.45721,0.94956,0.95438,0.98552,0.74429,0.91904,0.65048,1.53895,4.0278e-05,4.0278e-05,4.0278e-05
13,3468.04,0.84875,1.17332,1.44195,0.95815,0.95727,0.98684,0.74704,0.9076,0.6095,1.52652,3.0576e-05,3.0576e-05,3.0576e-05
14,3727.3,0.83479,1.13465,1.42836,0.96869,0.95136,0.98738,0.74736,0.90245,0.59531,1.51801,2.0874e-05,2.0874e-05,2.0874e-05
15,3980.22,0.82842,1.09863,1.41772,0.97114,0.96007,0.98862,0.75279,0.89299,0.58565,1.50791,1.1172e-05,1.1172e-05,1.1172e-05
