epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.921,1.19012,4.63527,1.66129,0.15124,0.20025,0.06612,0.04529,1.14114,3.10766,1.74059,4.89415e-05,4.89415e-05,4.89415e-05
2,505.114,1.15927,3.81342,1.58408,0.2804,0.40961,0.25514,0.16421,1.1508,2.41576,1.76442,9.47094e-05,9.47094e-05,9.47094e-05
3,747.572,1.15812,3.32045,1.57619,0.32886,0.54549,0.42882,0.27671,1.15185,2.25959,1.80751,0.000137243,0.000137243,0.000137243
4,987.45,1.13287,2.9728,1.55243,0.45127,0.57455,0.55202,0.37544,1.08366,1.8123,1.7283,0.000132447,0.000132447,0.000132447
5,1225.9,1.1131,2.71102,1.52166,0.61298,0.65882,0.67369,0.46235,1.07869,1.50636,1.68665,0.000127596,0.000127596,0.000127596
6,1462.85,1.09398,2.51896,1.5116,0.65397,0.71422,0.76159,0.52759,1.07794,1.34446,1.68317,0.000122745,0.000122745,0.000122745
7,1698.81,1.08152,2.36493,1.50169,0.68222,0.78633,0.82436,0.57725,1.05716,1.20728,1.66814,0.000117894,0.000117894,0.000117894
8,1935.2,1.07521,2.22414,1.49136,0.75672,0.80277,0.86567,0.61167,1.0299,1.09389,1.65177,0.000113043,0.000113043,0.000113043
9,2170.18,1.0626,2.11108,1.48475,0.79391,0.83183,0.90667,0.6477,1.01777,1.01494,1.6242,0.000108192,0.000108192,0.000108192
10,2406.95,1.05612,2.00609,1.47978,0.83087,0.84924,0.9177,0.65556,1.02752,0.91682,1.62408,0.000103341,0.000103341,0.000103341
11,2646.09,1.02367,1.89003,1.45101,0.87015,0.88906,0.94393,0.6735,1.02289,0.8816,1.62347,9.849e-05,9.849e-05,9.849e-05
12,2882.57,1.03497,1.83528,1.45793,0.89267,0.9014,0.95215,0.69469,0.9936,0.80008,1.6082,9.3639e-05,9.3639e-05,9.3639e-05
13,3116.27,1.01569,1.76691,1.44363,0.92054,0.89912,0.96411,0.70569,0.97962,0.74705,1.58567,8.8788e-05,8.8788e-05,8.8788e-05
14,3351.09,1.01009,1.69051,1.44141,0.93982,0.92516,0.97675,0.7167,0.98093,0.70317,1.57198,8.3937e-05,8.3937e-05,8.3937e-05
15,3589.91,1.00416,1.64067,1.43435,0.93467,0.92181,0.97639,0.72083,0.9629,0.67468,1.58115,7.9086e-05,7.9086e-05,7.9086e-05
16,3828.17,0.99524,1.59647,1.42875,0.94032,0.92774,0.97783,0.71814,0.98091,0.65657,1.56961,7.4235e-05,7.4235e-05,7.4235e-05
17,4065.81,0.99515,1.55333,1.43118,0.94933,0.93919,0.98363,0.72386,0.98029,0.64439,1.6079,6.9384e-05,6.9384e-05,6.9384e-05
18,4303.28,0.99059,1.51157,1.42839,0.9518,0.94839,0.98335,0.73081,0.95222,0.60345,1.55439,6.4533e-05,6.4533e-05,6.4533e-05
19,4538.5,0.97969,1.45585,1.41582,0.95375,0.95239,0.98562,0.7336,0.94995,0.59333,1.5684,5.9682e-05,5.9682e-05,5.9682e-05
20,4773.39,0.97243,1.44474,1.41047,0.96713,0.95824,0.98838,0.73542,0.94332,0.57974,1.54912,5.4831e-05,5.4831e-05,5.4831e-05
21,5005.93,0.88397,0.95607,1.46306,0.97284,0.96765,0.98953,0.74363,0.93038,0.54572,1.5475,4.998e-05,4.998e-05,4.998e-05
22,5237.98,0.85923,0.87601,1.44337,0.97308,0.9724,0.98961,0.75276,0.90455,0.52178,1.53117,4.5129e-05,4.5129e-05,4.5129e-05
23,5468.14,0.84831,0.8192,1.42571,0.96643,0.97658,0.99062,0.7499,0.91111,0.51319,1.54058,4.0278e-05,4.0278e-05,4.0278e-05
24,5696.96,0.83498,0.78317,1.4198,0.97507,0.97878,0.99042,0.75707,0.90014,0.48723,1.52074,3.5427e-05,3.5427e-05,3.5427e-05
25,5926.94,0.83237,0.76324,1.41609,0.97911,0.97462,0.99164,0.75835,0.89182,0.48105,1.51724,3.0576e-05,3.0576e-05,3.0576e-05
26,6157.1,0.82831,0.74113,1.40579,0.98359,0.98068,0.99125,0.75793,0.89274,0.4667,1.51551,2.5725e-05,2.5725e-05,2.5725e-05
27,6385.95,0.81555,0.72061,1.3972,0.98247,0.98313,0.99205,0.75923,0.88298,0.45964,1.50863,2.0874e-05,2.0874e-05,2.0874e-05
28,6615.25,0.80613,0.70238,1.38737,0.98241,0.98487,0.99284,0.76315,0.87801,0.45066,1.49939,1.6023e-05,1.6023e-05,1.6023e-05
29,6845.13,0.79759,0.68972,1.3824,0.98627,0.98566,0.99305,0.76469,0.87883,0.45013,1.50093,1.1172e-05,1.1172e-05,1.1172e-05
30,7076.16,0.79878,0.68461,1.38308,0.98643,0.98593,0.99305,0.76385,0.8768,0.44453,1.49564,6.321e-06,6.321e-06,6.321e-06
