                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2998,                 4.7875,                  1.707,                 1.0811,                 8.0648,                 1.5835,                0.00453,                0.85137,                0.02629,                0.01537,                 1.1282,                 5.1588,                 1.7453,                0.99819,                 12.997,                 1.6874,             4.8767e-05,             4.8767e-05,             4.8767e-05
                      2,                 1.1128,                 4.2472,                 1.4867,                0.90299,                 7.1125,                 1.3579,                 0.4758,                0.07529,                0.09539,                0.06375,                  1.099,                 4.3931,                 1.6927,                0.98622,                 11.298,                 1.6461,             9.1314e-05,             9.1314e-05,             9.1314e-05
                      3,                 1.1638,                 3.6652,                 1.4988,                0.95537,                 6.2342,                 1.3658,                0.38028,                0.23723,                0.20777,                0.14425,                 1.1459,                 3.7541,                 1.7018,                 1.0207,                 9.4068,                 1.6006,             0.00012739,             0.00012739,             0.00012739
                      4,                 1.1535,                 3.1285,                 1.4727,                0.99659,                 5.2892,                 1.3678,                0.43465,                0.45285,                0.42136,                0.29938,                 1.1128,                 2.9425,                 1.6632,                 1.0455,                 7.5958,                 1.6066,             0.00011789,             0.00011789,             0.00011789
                      5,                 1.1329,                 2.7447,                 1.4464,                 1.0003,                 4.6036,                 1.3624,                0.48712,                0.53001,                0.51885,                0.36866,                 1.0847,                 2.4745,                 1.5972,                 1.0474,                 6.4326,                 1.5774,             0.00011789,             0.00011789,             0.00011789
                      6,                0.97605,                 2.1616,                 1.5106,                0.95352,                 5.4864,                 1.4986,                0.54888,                0.64005,                0.65855,                0.49053,                 1.0049,                 1.9105,                 1.5378,                0.99043,                 5.1206,                 1.5339,             0.00010819,             0.00010819,             0.00010819
                      7,                0.92906,                 1.6777,                 1.4628,                0.92025,                 4.3395,                 1.4569,                0.68158,                0.70915,                0.79043,                0.59127,                0.97129,                 1.4988,                 1.4932,                0.97172,                  4.111,                 1.4938,              9.849e-05,              9.849e-05,              9.849e-05
                      8,                0.90161,                 1.4201,                 1.4334,                0.89745,                 3.6538,                 1.4328,                0.71809,                0.79983,                0.85622,                0.64374,                 0.9477,                  1.238,                 1.4702,                 0.9437,                 3.5065,                 1.4788,             8.8788e-05,             8.8788e-05,             8.8788e-05
                      9,                0.87832,                 1.2354,                 1.4087,                0.88257,                 3.1409,                 1.4156,                0.77015,                0.82008,                0.89395,                0.66898,                0.93379,                  1.117,                 1.4752,                0.94403,                 3.0617,                 1.4911,             7.9086e-05,             7.9086e-05,             7.9086e-05
                     10,                0.85693,                 1.1139,                 1.3947,                 0.8645,                 2.7903,                 1.4022,                0.81054,                0.83752,                0.91636,                0.69743,                0.91503,                 1.0189,                 1.4432,                0.92882,                 2.7421,                 1.4564,             6.9384e-05,             6.9384e-05,             6.9384e-05
                     11,                0.83238,                 1.0127,                 1.3634,                0.83948,                 2.5138,                 1.3706,                0.82709,                0.86902,                0.93488,                0.70856,                0.90145,                0.95648,                 1.4272,                0.91591,                 2.5051,                 1.4415,             5.9682e-05,             5.9682e-05,             5.9682e-05
                     12,                0.82022,                0.94554,                 1.3627,                0.83149,                 2.3209,                  1.371,                0.84069,                0.86341,                0.94159,                0.71607,                0.89262,                 0.9063,                 1.4252,                0.90284,                 2.3897,                 1.4357,              4.998e-05,              4.998e-05,              4.998e-05
                     13,                0.79706,                0.89159,                 1.3383,                0.80725,                 2.1751,                 1.3466,                0.85423,                0.90252,                0.95212,                0.73008,                 0.8749,                0.85599,                 1.4099,                0.88096,                 2.2349,                  1.418,             4.0278e-05,             4.0278e-05,             4.0278e-05
                     14,                0.78483,                0.85287,                 1.3238,                0.79588,                 2.0758,                 1.3328,                0.89296,                0.88011,                0.95935,                0.73712,                0.86929,                0.83138,                 1.4103,                0.88064,                 2.1271,                   1.42,             3.0576e-05,             3.0576e-05,             3.0576e-05
                     15,                0.77616,                0.82255,                 1.3192,                0.78538,                 1.9917,                 1.3262,                0.90012,                0.87639,                0.96085,                0.73941,                0.86682,                0.81735,                 1.4065,                0.87403,                 2.0852,                 1.4141,             2.0874e-05,             2.0874e-05,             2.0874e-05
